Compiled loss functions
compiled score function
464 138.806121826 140.54069519
465 139.130691528 140.740631104
466 138.939453125 140.587814331
467 139.003128052 140.433578491
468 138.854324341 140.536590576
469 138.855331421 140.784225464
470 138.732650757 140.444244385
471 138.949813843 140.524200439
472 138.926193237 140.463775635
473 138.997360229 140.994812012
474 138.926803589 140.787246704
475 139.072570801 140.468856812
476 138.787979126 140.326934814
477 139.024291992 140.798690796
478 139.078720093 140.401153564
479 138.875350952 140.389022827
480 138.732788086 140.606414795
481 138.737442017 140.491714478
482 138.832809448 140.33744812
483 138.728652954 140.371154785
484 138.74407959 140.130523682
485 138.865142822 140.83354187
486 138.786209106 140.481765747
487 138.889892578 140.824478149
488 138.832672119 140.684844971
489 139.030731201 140.771118164
490 138.712921143 140.462921143
491 138.699859619 140.567855835
492 138.645599365 140.358657837
493 138.812835693 140.603973389
494 138.821121216 140.693359375
495 138.715911865 140.495513916
496 139.02104187 140.624664307
497 138.741653442 140.540039062
498 138.793823242 140.541641235
499 138.595550537 140.372207642
500 138.866043091 140.546691895
501 138.854141235 140.499664307
502 138.844512939 140.439727783
503 138.841140747 140.688842773
504 138.683044434 140.494232178
505 139.052566528 140.61505127
506 138.688339233 140.46925354
507 138.865310669 140.818527222
508 138.638000488 140.356826782
509 138.807449341 140.626495361
510 138.770309448 140.389968872
511 138.768890381 140.380691528
512 138.694442749 140.59072876
513 138.803726196 140.629379272
514 138.616256714 140.49786377
515 138.687454224 140.455627441
516 138.896331787 140.639297485
517 138.718063354 140.643432617
518 138.534713745 140.290328979
519 138.723724365 140.44039917
520 138.341293335 140.153945923
521 138.715042114 140.24559021
522 138.629898071 140.499984741
523 138.600021362 140.574539185
524 138.738098145 140.491119385
525 138.679321289 140.484786987
526 138.543411255 140.297821045
527 138.513259888 140.445800781
528 138.573181152 140.232498169
529 138.548736572 140.458435059
530 138.641616821 140.451660156
531 138.754959106 140.605026245
532 138.718566895 140.426422119
533 138.474731445 140.441986084
534 138.563674927 140.249969482
535 138.62928772 140.207504272
536 138.493713379 140.40562439
537 138.780487061 140.548477173
538 138.684188843 140.428939819
539 138.517150879 140.279754639
540 138.718521118 140.340774536
541 138.50302124 140.515472412
542 138.49005127 140.345458984
543 138.434631348 140.28956604
544 138.601913452 140.449859619
545 138.75163269 140.45375061
546 138.694778442 140.475341797
547 138.573104858 140.247528076
548 138.511947632 140.291763306
549 138.581665039 140.459869385
550 138.680419922 140.412628174
551 138.477233887 140.251327515
552 138.39414978 140.203872681
553 138.627883911 140.504821777
554 138.510162354 140.279281616
555 138.367370605 140.314437866
556 138.458572388 140.122940063
557 138.56262207 140.394577026
558 138.94480896 140.43977356
559 138.557281494 140.412384033
560 138.401321411 140.446640015
561 138.421096802 140.326202393
562 138.377990723 140.147735596
563 138.502609253 140.158615112
564 138.605728149 140.436355591
565 138.597930908 140.567474365
566 138.562149048 140.279922485
567 138.407897949 140.232452393
568 138.329696655 140.210250854
569 138.429351807 140.408279419
570 138.392868042 140.15612793
571 138.626235962 140.275665283
572 138.338500977 140.371994019
573 138.50428772 140.27923584
574 138.600784302 140.227600098
575 138.811691284 140.217575073
576 138.220733643 140.178573608
577 138.521331787 140.283630371
578 138.365188599 140.514282227
579 138.37461853 139.986907959
580 138.288848877 140.139282227
581 138.409515381 140.302902222
582 138.294631958 140.195907593
583 138.356292725 140.044036865
584 138.574874878 140.648391724
585 138.55078125 140.408752441
586 138.385391235 140.124969482
587 138.477523804 140.439376831
588 138.515625 140.283630371
589 138.621810913 140.331039429
590 138.501831055 140.265487671
591 138.392150879 140.339370728
592 138.400360107 140.389694214
593 138.403121948 140.226242065
594 138.466201782 140.231063843
595 138.160339355 140.187591553
596 138.555160522 140.336715698
597 138.120925903 140.011322021
598 138.363342285 140.202774048
599 138.316467285 140.297332764
600 138.38319397 140.29876709
601 138.211700439 140.139190674
602 138.225875854 140.101821899
603 138.287734985 140.148330688
604 139.135940552 141.070541382
