Compiled loss functions
compiled score function
402 140.467224121 148.246154785
403 140.334442139 148.373428345
404 141.104660034 148.83430481
405 140.492095947 148.309967041
406 140.368972778 148.420440674
407 140.3230896 148.339309692
408 140.673934937 148.651290894
409 141.146682739 148.744003296
410 140.513275146 148.384979248
411 140.471633911 148.341842651
412 140.546569824 148.342895508
413 140.67616272 148.672576904
414 140.469299316 148.379058838
415 140.643920898 148.455566406
416 140.390899658 148.204040527
417 140.622573853 148.556793213
418 140.648986816 148.534133911
419 141.175216675 148.84362793
420 140.956283569 148.62840271
421 140.474090576 148.239227295
422 140.265182495 148.473968506
423 140.360946655 148.55619812
424 140.856491089 148.396179199
425 140.463699341 148.489624023
426 140.583511353 148.486343384
427 140.551437378 148.28465271
428 140.636749268 148.958587646
429 140.43208313 148.176834106
430 140.872543335 148.4818573
431 140.533706665 148.937408447
432 140.401580811 148.369293213
433 140.68951416 148.794586182
434 140.499130249 148.563461304
435 140.458389282 148.297332764
436 140.664001465 148.520507812
437 140.409439087 148.446502686
438 140.392349243 148.676010132
439 140.354278564 148.415725708
440 140.373535156 148.224349976
441 140.641952515 148.689651489
442 140.455368042 148.579315186
443 140.52696228 148.839904785
444 140.400543213 148.837371826
445 140.252120972 148.5337677
446 140.321594238 148.248977661
447 140.077453613 148.248428345
448 140.60005188 148.718048096
449 140.776870728 148.686080933
450 140.413085938 148.47052002
451 140.365783691 148.372711182
452 140.753753662 148.818496704
453 140.535614014 148.805389404
454 140.129989624 148.373580933
455 140.386001587 148.402938843
456 140.059555054 148.359558105
457 140.290252686 148.535415649
458 140.887207031 148.959320068
459 140.183105469 148.340744019
460 140.424758911 148.871170044
461 140.226577759 148.625305176
462 140.72694397 148.827835083
463 140.320449829 148.669845581
464 140.254348755 148.367614746
465 140.585144043 148.455917358
466 140.342102051 148.428771973
467 140.055389404 148.233551025
468 140.856842041 148.731826782
469 140.442092896 148.431396484
470 140.326004028 148.61340332
471 140.203231812 148.423599243
472 140.461364746 148.639526367
473 140.453933716 148.532150269
474 140.218048096 148.353820801
475 140.304351807 148.467346191
476 140.274047852 148.884719849
477 140.778015137 148.805374146
478 140.297302246 148.515914917
479 140.015960693 148.316467285
480 140.223007202 148.492401123
481 140.731887817 148.758377075
482 140.400802612 148.797790527
483 140.43359375 148.881500244
484 140.666305542 149.256652832
485 139.875320435 148.41204834
486 139.975463867 148.299133301
487 139.976760864 148.657470703
488 140.543991089 148.709915161
489 140.506896973 148.949478149
490 140.15184021 148.281326294
491 140.416351318 148.645095825
492 140.328811646 148.589141846
493 140.777893066 149.126403809
494 139.96585083 148.243347168
495 140.202804565 148.705780029
496 140.077850342 148.472640991
497 140.293579102 148.961547852
498 140.166152954 148.638137817
499 140.315322876 148.588165283
500 140.354873657 148.690917969
501 140.194702148 148.863327026
502 140.670776367 149.19972229
503 140.559280396 149.055480957
504 139.842529297 148.459487915
505 140.014511108 148.547988892
506 140.120727539 148.551239014
507 140.407653809 149.042068481
508 140.016311646 148.714859009
509 140.090621948 148.487136841
510 140.088119507 148.894485474
511 140.279083252 149.114013672
512 140.595748901 149.027099609
513 139.964111328 148.64465332
514 139.888931274 148.25920105
515 140.476669312 148.505859375
516 140.367782593 148.766082764
517 140.128295898 148.851577759
518 140.016693115 148.515304565
519 140.730743408 149.002166748
520 139.927764893 148.690643311
521 140.208190918 148.795715332
522 140.073059082 148.754119873
523 140.052322388 148.588226318
524 140.138519287 148.900894165
525 140.28755188 148.666549683
526 140.248825073 148.630310059
527 139.8540802 148.375152588
528 139.936218262 148.769760132
529 139.728988647 148.273727417
530 139.990737915 148.585983276
531 140.06829834 148.772384644
532 139.912078857 148.382522583
533 139.706451416 148.685165405
534 139.902770996 148.750640869
535 140.048309326 148.631332397
536 140.184783936 148.925796509
537 140.040023804 148.636779785
538 139.741607666 148.569030762
539 140.101623535 148.682342529
540 139.833969116 148.68019104
541 139.81842041 148.60987854
542 140.172622681 149.086730957
543 140.680496216 149.004684448
544 140.051315308 148.866333008
545 140.461395264 149.333938599
546 140.211212158 149.081802368
547 140.408401489 148.983215332
548 139.83303833 148.705413818
549 140.016998291 148.816329956
550 139.87663269 148.579391479
551 140.023132324 149.168045044
552 140.269882202 149.455078125
553 139.877349854 148.408630371
554 140.22996521 149.031890869
555 139.671524048 148.641723633
556 140.300094604 148.65914917
557 140.039047241 148.728317261
558 139.941970825 148.771728516
559 139.702453613 148.681381226
560 139.717971802 148.617431641
561 140.219772339 149.064224243
562 140.1953125 149.186431885
563 140.371734619 149.088088989
564 140.007522583 148.817565918
565 140.018478394 148.746246338
566 139.795150757 149.044326782
567 139.895263672 148.853942871
568 139.833953857 148.718704224
569 140.04119873 149.061508179
570 139.762634277 148.585494995
571 139.905014038 148.880096436
572 139.628601074 148.579879761
573 139.909744263 148.724227905
574 139.93119812 148.974609375
575 140.022460938 149.269851685
576 139.672058105 148.71711731
577 139.965057373 148.742630005
578 139.880966187 148.924667358
579 139.90486145 148.82208252
580 139.740249634 148.850463867
581 139.87461853 149.1822052
582 139.736831665 148.492340088
583 139.994400024 149.229919434
584 140.07989502 148.937957764
585 139.918762207 148.765518188
586 139.728393555 148.944412231
587 139.933914185 148.99079895
588 140.349060059 149.341140747
589 139.969161987 148.7709198
590 139.703933716 148.745513916
591 139.779449463 149.228057861
592 139.744567871 148.647766113
593 140.224304199 149.18347168
594 139.642181396 149.003952026
595 139.880142212 148.88899231
596 139.466110229 148.694519043
597 139.607131958 148.815185547
598 139.672912598 148.714553833
599 139.929122925 148.861602783
600 139.936172485 148.805465698
601 139.842437744 149.109848022
602 139.669631958 148.769790649
603 139.535705566 148.657989502
604 139.674942017 148.890945435
605 139.908905029 149.156219482
606 140.256591797 149.046813965
607 139.925369263 149.142028809
608 139.603286743 148.839874268
609 140.33946228 149.546783447
610 139.806655884 148.834152222
611 139.649185181 148.967697144
612 139.758789062 148.997131348
613 139.584625244 148.688690186
614 139.348754883 148.695556641
615 139.561859131 148.897201538
616 139.691268921 149.017166138
617 139.635009766 148.906951904
618 139.483093262 148.784515381
619 139.926773071 149.267120361
620 139.543380737 148.8230896
621 139.621643066 148.856826782
622 139.724273682 149.123626709
623 139.765014648 148.738189697
624 139.505142212 149.102767944
625 139.859512329 149.283996582
626 139.749801636 149.166564941
627 139.845581055 148.821380615
628 140.1275177 149.307327271
629 140.115661621 149.364532471
630 139.654571533 148.932693481
631 139.593353271 149.002441406
632 139.537902832 148.958587646
633 139.816268921 149.36328125
634 139.711883545 149.016036987
635 139.680831909 149.172790527
636 139.923278809 149.123565674
637 139.851303101 148.896316528
638 139.629196167 148.984634399
639 139.377304077 149.083450317
640 139.742919922 148.939697266
641 139.605453491 149.246353149
642 139.59765625 148.915237427
643 139.764862061 149.408279419
644 140.023880005 149.142593384
645 139.398773193 148.660354614
646 139.613418579 149.092407227
647 139.555725098 149.080291748
648 139.780014038 149.120223999
649 139.459060669 148.941223145
650 139.606536865 148.952255249
651 139.441802979 148.889785767
652 139.594223022 148.981536865
653 139.711975098 149.079727173
654 139.868743896 149.256164551
655 139.689331055 149.149032593
656 139.401885986 148.873565674
657 139.523712158 148.864135742
658 139.354278564 149.214691162
659 140.018112183 149.303787231
660 139.424636841 148.856552124
661 139.312820435 149.067962646
662 139.510955811 149.110778809
663 139.705337524 149.030441284
664 139.534790039 149.047790527
665 139.361251831 149.09463501
666 139.575469971 149.118286133
667 139.626083374 149.124725342
668 139.464553833 148.741195679
669 139.56237793 149.313964844
670 139.469009399 149.097518921
671 139.935333252 149.714553833
672 139.842971802 149.548934937
673 140.401565552 149.508590698
674 139.705871582 149.049575806
675 139.580718994 149.252716064
676 139.376617432 149.027877808
677 139.924240112 149.078277588
678 139.837173462 149.030044556
679 139.575469971 149.353973389
680 139.527572632 149.07434082
681 140.175933838 149.59387207
682 139.588165283 149.331390381
683 139.74079895 149.326599121
684 139.463256836 148.855316162
685 139.901412964 149.12701416
686 139.50642395 149.089889526
687 139.482437134 149.210891724
688 139.85458374 149.541107178
689 139.211685181 149.204376221
690 139.243682861 148.897003174
691 139.333343506 149.068023682
692 139.339202881 148.957489014
693 140.326019287 149.998001099
694 139.673431396 149.140563965
695 139.555130005 149.47277832
696 139.369522095 149.119476318
697 139.376785278 148.975326538
698 139.308929443 149.511474609
699 139.425323486 149.185745239
700 139.375854492 149.05921936
701 139.27192688 149.067214966
702 139.593521118 149.329910278
703 139.503570557 149.259674072
704 139.396697998 149.281555176
705 139.386520386 149.196853638
706 139.307220459 149.258590698
707 139.292922974 149.170440674
708 139.363128662 149.174758911
709 139.177001953 148.932479858
710 139.476531982 149.336669922
711 139.365005493 149.248733521
712 139.497009277 149.271820068
713 139.647460938 149.258132935
714 139.489746094 149.255706787
715 139.329299927 149.304092407
716 139.30380249 149.123001099
717 139.481262207 149.430618286
718 139.313140869 149.256195068
719 139.532211304 149.091629028
720 139.173782349 148.969512939
721 139.285217285 149.256835938
722 139.431838989 149.388473511
723 139.481079102 149.271591187
724 139.281234741 149.545303345
725 139.847595215 149.336395264
726 139.839080811 149.716018677
727 139.299972534 149.132354736
728 139.402267456 149.673416138
729 139.283050537 149.671859741
730 139.478607178 149.374465942
731 139.397872925 149.072494507
732 139.634460449 149.582778931
733 139.327041626 149.1328125
734 139.299499512 149.309143066
735 139.635116577 149.504638672
736 139.309005737 149.157501221
737 140.089019775 150.063903809
738 139.957061768 150.18296814
739 139.464920044 149.330123901
740 139.232192993 149.054641724
741 139.248077393 149.121200562
742 139.75881958 149.657150269
743 139.573013306 149.189849854
744 139.784790039 149.661621094
745 139.66418457 149.692901611
746 139.286621094 149.213851929
747 139.600280762 149.36328125
748 139.188415527 149.191253662
749 139.392028809 149.453140259
750 139.192016602 149.31048584
751 139.528640747 149.235855103
752 139.494934082 149.467773438
753 139.913360596 149.573760986
754 139.354400635 149.675704956
755 139.426223755 149.38710022
756 139.292694092 149.586486816
757 139.278457642 149.424102783
758 139.204528809 149.455490112
759 139.123092651 149.236907959
760 139.090423584 149.43951416
761 139.390823364 149.591720581
762 139.744308472 150.102966309
763 139.254119873 149.236053467
764 139.214141846 149.353942871
765 139.217254639 149.509002686
766 139.237319946 149.241027832
767 139.65473938 150.048782349
768 139.308761597 149.578475952
769 139.315750122 149.203704834
770 139.145980835 149.617431641
771 139.805969238 149.634963989
772 139.265899658 149.193786621
773 139.738739014 149.549621582
774 139.30241394 149.257141113
775 139.042282104 149.30128479
776 139.269378662 149.599563599
777 139.083526611 149.18649292
778 139.456741333 149.57661438
779 139.082321167 149.221466064
780 139.12147522 149.145935059
781 139.343139648 149.455963135
782 139.211242676 149.497390747
783 139.166976929 149.457672119
784 139.024780273 149.248626709
785 139.327545166 149.491989136
786 139.224349976 149.457229614
787 139.405181885 149.586105347
788 139.270599365 149.666030884
789 139.470779419 149.292327881
790 139.323165894 149.594940186
791 139.176208496 149.363739014
792 139.114074707 149.427978516
793 139.6456604 150.125701904
794 139.210021973 149.272979736
795 139.265029907 149.483413696
796 139.210464478 149.485244751
797 139.144851685 149.395248413
798 139.659057617 149.790359497
799 139.094039917 149.45300293
800 139.505722046 149.660766602
801 138.861755371 149.216552734
802 139.811172485 149.62461853
803 139.054122925 149.321395874
804 139.060623169 149.177215576
805 139.062698364 149.395019531
806 138.972579956 149.552825928
807 139.039550781 149.229187012
808 139.131393433 149.279037476
809 139.088043213 149.451644897
810 139.155319214 149.511566162
811 139.15612793 149.550125122
812 139.140563965 149.685623169
813 139.646652222 149.666870117
814 138.956130981 149.177825928
815 139.025741577 149.488876343
816 139.521865845 149.972427368
817 138.994064331 149.256790161
818 139.073760986 149.660675049
819 139.540039062 149.701324463
820 139.217468262 149.657516479
821 139.359146118 149.632919312
822 139.085021973 149.491607666
823 139.152160645 149.585403442
824 140.303939819 149.996414185
825 139.22807312 149.496688843
826 139.584457397 149.374984741
827 139.230407715 149.240905762
828 139.205780029 149.43170166
829 139.388366699 149.385681152
830 139.183609009 149.461868286
831 139.266952515 149.812591553
832 139.050476074 149.362289429
833 139.192001343 149.585189819
834 139.445159912 150.015594482
835 139.077438354 149.389526367
836 138.990249634 149.622528076
837 139.053115845 149.387649536
838 139.108139038 149.440811157
839 139.228622437 149.3777771
840 139.197189331 149.849716187
841 139.168060303 149.746765137
842 139.111083984 149.457519531
