compiled score function
Old best loss
garray(130.62295532226562)
Compiled loss functions
820 127.811973572 130.703353882
821 127.767837524 130.778762817
822 127.828437805 130.779342651
823 127.79725647 130.772003174
824 127.73374939 130.733078003
825 127.621635437 130.738189697
826 127.766159058 130.734710693
827 127.722816467 130.677429199
828 127.734413147 130.670669556
829 127.604644775 130.675354004
830 127.75806427 130.721328735
831 127.829185486 130.664123535
832 127.765480042 130.746582031
833 127.800674438 130.725921631
834 127.76008606 130.76159668
835 127.746406555 130.677429199
836 127.835578918 130.725494385
837 127.762619019 130.641525269
838 127.702278137 130.648971558
839 127.768676758 130.684249878
840 127.699523926 130.628005981
841 127.764808655 130.609313965
842 127.846496582 130.649581909
843 127.78792572 130.644058228
844 127.774597168 130.624435425
845 127.859519958 130.635360718
846 127.766166687 130.682632446
847 127.780380249 130.651428223
848 127.692504883 130.683578491
849 127.768814087 130.668487549
850 127.766525269 130.694946289
851 127.810073853 130.664596558
852 127.760978699 130.659790039
853 127.792289734 130.6690979
854 127.697868347 130.607345581
855 127.799224854 130.683059692
856 127.818153381 130.724090576
857 127.788795471 130.747848511
858 127.713287354 130.750946045
859 127.674957275 130.626968384
860 127.796104431 130.667144775
861 127.780235291 130.668777466
862 127.828643799 130.683303833
863 127.892936707 130.715484619
864 127.737037659 130.657730103
865 127.836967468 130.738876343
866 127.722198486 130.752349854
867 127.790023804 130.741744995
868 127.795646667 130.653106689
869 127.743186951 130.744689941
870 127.716873169 130.698364258
871 127.731399536 130.663787842
872 127.736869812 130.65322876
873 127.764778137 130.64352417
874 127.768478394 130.642822266
875 127.788917542 130.701171875
876 127.864234924 130.662536621
877 127.765525818 130.623794556
878 127.810844421 130.705078125
879 127.768829346 130.660888672
880 127.658409119 130.699203491
881 127.716545105 130.697067261
882 127.69909668 130.714172363
883 127.670974731 130.708984375
884 127.82068634 130.694351196
885 127.784759521 130.662490845
886 127.748184204 130.599075317
887 127.778160095 130.650039673
888 127.788665771 130.623428345
889 127.743545532 130.713989258
890 127.747283936 130.661117554
891 127.778610229 130.6668396
892 127.774223328 130.662689209
893 127.80431366 130.593704224
894 127.81741333 130.652526855
895 127.752838135 130.599853516
896 127.827728271 130.558364868
897 127.751350403 130.619552612
898 127.715805054 130.624694824
899 127.742675781 130.540664673
900 127.814407349 130.671218872
901 127.752548218 130.604507446
902 127.84941864 130.634552002
903 127.761138916 130.574645996
