compiled score function
Old best loss
garray(93.54653930664062)
Compiled loss functions
312 92.2272338867 93.5385513306
313 92.2546768188 93.5104064941
314 92.2101211548 93.4912490845
315 92.3315582275 93.5701065063
316 92.1987991333 93.5398330688
317 92.2320556641 93.4311676025
318 92.295715332 93.4755325317
319 92.2031402588 93.4959106445
320 92.1468963623 93.4734573364
321 92.2882995605 93.42628479
322 92.2255401611 93.4518203735
323 92.2312011719 93.5553436279
324 92.2305603027 93.4522171021
325 92.2129364014 93.5081100464
326 92.2588577271 93.4484481812
327 92.1907196045 93.4263687134
328 92.2323989868 93.4100875854
329 92.2414169312 93.4081878662
330 92.2172546387 93.4903488159
331 92.1669006348 93.4893112183
332 92.2567749023 93.4267578125
333 92.2768554688 93.4144973755
334 92.249420166 93.4775314331
335 92.2457351685 93.4867706299
336 92.2863769531 93.4874801636
337 92.2668151855 93.4757385254
338 92.2210845947 93.5047454834
339 92.2450180054 93.4309005737
340 92.2152557373 93.460319519
341 92.1581268311 93.4167327881
342 92.1972045898 93.4911880493
343 92.1732940674 93.4152603149
344 92.2338485718 93.4193115234
345 92.2111053467 93.5195922852
346 92.2271957397 93.4426345825
347 92.2136154175 93.4127197266
348 92.1838378906 93.3699951172
349 92.2737884521 93.4895706177
350 92.2154159546 93.393699646
351 92.2966156006 93.5045013428
352 92.2306442261 93.496925354
353 92.1962203979 93.4474334717
354 92.2319564819 93.4395751953
355 92.2990188599 93.473274231
356 92.2385253906 93.4078826904
357 92.2609405518 93.4600067139
358 92.2741775513 93.5257339478
359 92.2868499756 93.4763259888
360 92.2522964478 93.4158859253
361 92.2462387085 93.5335083008
362 92.2562789917 93.479019165
363 92.2207183838 93.4809570312
364 92.1971206665 93.4348754883
365 92.2155303955 93.3246383667
366 92.1739959717 93.4381713867
367 92.2084350586 93.3860626221
368 92.2263412476 93.4811935425
369 92.1824951172 93.4851608276
370 92.2042770386 93.4363250732
371 92.1878814697 93.402885437
372 92.2784805298 93.4058303833
373 92.1896362305 93.4500732422
374 92.2385787964 93.3569259644
375 92.268951416 93.479927063
376 92.2492980957 93.3946762085
377 92.1718292236 93.4709625244
378 92.2058944702 93.4724197388
379 92.2408676147 93.4406890869
380 92.1902008057 93.41746521
381 92.2409286499 93.4758071899
382 92.2684402466 93.4915161133
383 92.17918396 93.5094070435
384 92.177734375 93.4237213135
385 92.2013473511 93.4864196777
386 92.2435684204 93.4776992798
387 92.1873397827 93.4141159058
388 92.2150344849 93.5081787109
389 92.2131347656 93.3888397217
390 92.2326202393 93.4062194824
391 92.212097168 93.4908981323
392 92.1871109009 93.4337692261
393 92.1864547729 93.4456863403
394 92.169670105 93.4624023438
395 92.2178573608 93.4564590454
396 92.2021408081 93.4984283447
397 92.2194595337 93.4821853638
398 92.175201416 93.4496688843
399 92.2072601318 93.514503479
400 92.2317581177 93.4968490601
401 92.2394485474 93.35521698
402 92.1950759888 93.4814376831
403 92.2174606323 93.4101638794
404 92.2064590454 93.4430618286
405 92.1724853516 93.4126281738
406 92.1463775635 93.4454574585
407 92.1399154663 93.4902877808
408 92.2113800049 93.4479446411
409 92.2223587036 93.4787216187
410 92.2136383057 93.4078598022
411 92.2677078247 93.465171814
412 92.2188186646 93.4312133789
413 92.2080154419 93.3919754028
414 92.2096862793 93.402885437
415 92.2133102417 93.3493728638
416 92.1829452515 93.4340591431
417 92.2666168213 93.3780975342
418 92.1700363159 93.4787445068
419 92.1856155396 93.4406661987
420 92.2002182007 93.4822006226
421 92.275970459 93.4842071533
422 92.2054214478 93.3876419067
423 92.1897277832 93.3864440918
424 92.2071380615 93.3906478882
425 92.2414398193 93.4464874268
426 92.1988677979 93.4573822021
427 92.1378097534 93.4212493896
428 92.2348403931 93.4503097534
429 92.2517166138 93.4409332275
430 92.2222213745 93.44871521
431 92.1824569702 93.4274368286
432 92.2640075684 93.4185333252
433 92.2282562256 93.4190750122
434 92.2065963745 93.3887863159
435 92.2176971436 93.4468383789
436 92.1962814331 93.4331512451
437 92.221206665 93.4468231201
438 92.2006149292 93.4199829102
439 92.2062149048 93.4189376831
440 92.2052993774 93.4785003662
441 92.2114181519 93.4378967285
442 92.2649154663 93.4739151001
443 92.2828140259 93.4332122803
444 92.2534561157 93.3908538818
445 92.2567749023 93.408416748
446 92.2181549072 93.4773025513
447 92.191619873 93.4552383423
448 92.1858901978 93.4757995605
449 92.2106781006 93.4666595459
450 92.2353591919 93.4284133911
451 92.2641448975 93.4687194824
452 92.2297668457 93.5122070312
453 92.229019165 93.4388504028
454 92.2125854492 93.4468612671
455 92.2062988281 93.3969116211
456 92.2059249878 93.4921417236
457 92.262878418 93.4602737427
458 92.1530990601 93.393447876
459 92.2508087158 93.310295105
460 92.2024765015 93.3957748413
461 92.2771987915 93.4434738159
462 92.2053985596 93.4425964355
463 92.209815979 93.4863357544
464 92.2508544922 93.4878616333
465 92.1803741455 93.392250061
466 92.1869888306 93.4848861694
467 92.1860809326 93.4932098389
468 92.1678543091 93.4359359741
469 92.238609314 93.4331436157
470 92.2136688232 93.4264831543
471 92.2441253662 93.4474563599
472 92.1807250977 93.3887710571
473 92.2354278564 93.4584350586
474 92.1987991333 93.4297714233
475 92.1791152954 93.4169540405
476 92.2027587891 93.4385681152
477 92.211227417 93.4300003052
478 92.2113876343 93.4568405151
479 92.220489502 93.4451370239
480 92.1730270386 93.3705596924
481 92.2609405518 93.412071228
482 92.2037200928 93.4585876465
483 92.2615814209 93.4658508301
484 92.2182769775 93.3442001343
485 92.1857147217 93.4508209229
486 92.2248764038 93.4566726685
487 92.2130889893 93.4352493286
488 92.2481384277 93.4563674927
489 92.1881103516 93.4119720459
490 92.1877593994 93.5015487671
491 92.2077178955 93.4495697021
492 92.2043304443 93.4120025635
493 92.254196167 93.3866958618
494 92.246055603 93.4788742065
495 92.2796783447 93.4877624512
496 92.2004394531 93.3991622925
497 92.2060546875 93.4267578125
498 92.1680679321 93.4550018311
499 92.2206878662 93.4670715332
500 92.1995010376 93.4791259766
501 92.1941299438 93.3880004883
502 92.1886749268 93.4516830444
503 92.219078064 93.3801498413
504 92.1974563599 93.4729995728
505 92.2246704102 93.395149231
506 92.2503814697 93.479019165
507 92.1963806152 93.417350769
508 92.1786651611 93.4311752319
509 92.23802948 93.4047698975
510 92.265914917 93.428527832
511 92.2056808472 93.4201965332
512 92.1929244995 93.3644638062
513 92.1716842651 93.4983978271
514 92.1885681152 93.3542327881
515 92.2383346558 93.5179138184
516 92.1721572876 93.4698867798
517 92.2340164185 93.4317855835
518 92.1922988892 93.4364852905
519 92.2649993896 93.4569244385
520 92.2032775879 93.4564971924
521 92.2039413452 93.3933105469
522 92.2231369019 93.5121536255
523 92.1834793091 93.477897644
524 92.2526550293 93.5162887573
525 92.2622451782 93.4404449463
526 92.2054367065 93.5148544312
527 92.1885604858 93.4102554321
528 92.2384185791 93.4669876099
529 92.2429199219 93.4609832764
530 92.1858291626 93.4046630859
531 92.2259979248 93.4465255737
532 92.1847000122 93.4656066895
533 92.1715011597 93.4425582886
534 92.2280349731 93.4418258667
535 92.1991348267 93.405960083
536 92.2519989014 93.4765777588
537 92.1724777222 93.4972457886
538 92.1992874146 93.4250946045
539 92.1827087402 93.4437255859
540 92.2129440308 93.4939498901
541 92.210357666 93.3556289673
542 92.1904144287 93.464515686
543 92.2492904663 93.4676361084
544 92.2401046753 93.3678741455
545 92.2096099854 93.4165878296
546 92.2214889526 93.5162734985
547 92.1840209961 93.4286804199
548 92.1772766113 93.4374008179
549 92.2348251343 93.4871749878
550 92.2309188843 93.4596481323
551 92.1902160645 93.5288238525
552 92.1929244995 93.4511566162
553 92.2987747192 93.4961166382
554 92.2609786987 93.3859939575
555 92.1563568115 93.4195098877
556 92.1717910767 93.4298553467
557 92.2027359009 93.4016799927
558 92.2313156128 93.4785079956
559 92.176940918 93.451461792
560 92.2067947388 93.4183120728
561 92.248374939 93.4969558716
562 92.2043991089 93.4067153931
563 92.1821899414 93.4253463745
564 92.1820297241 93.4942398071
565 92.2126541138 93.4065170288
566 92.1786804199 93.4761047363
567 92.18019104 93.4277191162
568 92.2253646851 93.4829711914
569 92.2139968872 93.4169006348
570 92.2339401245 93.3838577271
571 92.1722183228 93.4064254761
572 92.2213973999 93.5216751099
573 92.2964706421 93.4398345947
574 92.1396942139 93.4588699341
575 92.2284088135 93.391708374
576 92.1260299683 93.496421814
577 92.2649002075 93.4916915894
578 92.2065963745 93.3789749146
579 92.1745376587 93.4533920288
580 92.2351608276 93.4829940796
581 92.2155456543 93.3817977905
582 92.239654541 93.4803237915
583 92.1898880005 93.4331207275
584 92.2036209106 93.4162216187
585 92.2126312256 93.4492111206
586 92.1997146606 93.4181976318
587 92.1837768555 93.3760986328
588 92.1984939575 93.3722076416
589 92.1692504883 93.4566726685
590 92.1821899414 93.395401001
591 92.1531600952 93.429145813
592 92.2301559448 93.4855575562
593 92.1872406006 93.4036254883
594 92.200553894 93.4053192139
595 92.1920700073 93.5376739502
596 92.1839981079 93.4008178711
597 92.1717453003 93.4260559082
598 92.1570358276 93.5268478394
599 92.2733612061 93.4930648804
600 92.2725372314 93.4020614624
601 92.1881942749 93.4048461914
602 92.2203903198 93.3987197876
603 92.2278213501 93.4929504395
604 92.2011108398 93.3824691772
605 92.1984558105 93.4567642212
606 92.1310882568 93.4188156128
607 92.1914596558 93.4113006592
608 92.1667785645 93.4158096313
609 92.2816772461 93.4580459595
610 92.2444152832 93.4903106689
611 92.166557312 93.413444519
612 92.1888809204 93.399848938
613 92.1710662842 93.4016876221
614 92.2725372314 93.4656982422
615 92.1974563599 93.4872360229
616 92.1865158081 93.4106216431
617 92.2418212891 93.5100784302
618 92.1638183594 93.4090957642
619 92.1917572021 93.4299163818
620 92.2292175293 93.3897628784
621 92.1924209595 93.4454650879
622 92.2368469238 93.421836853
623 92.1446762085 93.4858856201
624 92.2209243774 93.4538955688
625 92.1696548462 93.4546279907
626 92.1950378418 93.4485321045
627 92.159034729 93.4388580322
628 92.1500244141 93.3253479004
629 92.1844177246 93.440536499
630 92.2096557617 93.4097442627
631 92.1915359497 93.4787445068
632 92.2089157104 93.3745956421
633 92.1734313965 93.4038162231
634 92.2309570312 93.4827575684
635 92.2309570312 93.4026947021
636 92.2217941284 93.4464950562
637 92.2686691284 93.3738708496
638 92.1980056763 93.3896560669
639 92.2132339478 93.4165725708
640 92.2072372437 93.4147109985
641 92.2072296143 93.4281234741
642 92.1930465698 93.4000091553
643 92.2307891846 93.4317245483
644 92.2150650024 93.4598693848
645 92.1922454834 93.3703765869
646 92.2662963867 93.386100769
647 92.2346954346 93.365737915
648 92.2228012085 93.4361877441
649 92.1326980591 93.4360427856
650 92.1721954346 93.4381713867
651 92.2158584595 93.4526443481
652 92.2068557739 93.4345321655
653 92.2459564209 93.417137146
654 92.1520309448 93.5305862427
655 92.2174377441 93.3846206665
656 92.1574401855 93.4489593506
