(50000L, 784L)
compiled score function
Old best loss:
garray(130.34397888183594)
Old best val NLL:
127.253283696
Compiled loss functions
[324359, 354630, 354670, 354679, 354682, 354766, 354782, 354798, 354814, 354839, 354915, 354935, 354966, 355046, 355114, 355122, 355135, 355166, 355198, 355230, 355231, 355235, 355246, 355263, 355286, 355338, 355346, 355390, 752394]

0 garray(128.03807067871094) 131.722290039 127.351317823 [ 0.00707636]
230 garray(nan) nan nan [ nan]
231 garray(nan) nan nan [ nan]
232 garray(nan) nan nan [ nan]
233 garray(nan) nan nan [ nan]
234 garray(nan) nan nan [ nan]
235 garray(nan) nan nan [ nan]
236 garray(nan) nan nan [ nan]
237 garray(nan) nan nan [ nan]
238 garray(nan) nan nan [ nan]
239 garray(nan) nan nan [ nan]
240 garray(nan) nan nan [ nan]
241 garray(nan) nan nan [ nan]
242 garray(nan) nan nan [ nan]
243 garray(nan) nan nan [ nan]
244 garray(nan) nan nan [ nan]
245 garray(nan) nan nan [ nan]
246 garray(nan) nan nan [ nan]
247 garray(nan) nan nan [ nan]
248 garray(nan) nan nan [ nan]
249 garray(nan) nan nan [ nan]
250 garray(nan) nan nan [ nan]
251 garray(nan) nan nan [ nan]
252 garray(nan) nan nan [ nan]
253 garray(nan) nan nan [ nan]
254 garray(nan) nan nan [ nan]
255 garray(nan) nan nan [ nan]
256 garray(nan) nan nan [ nan]
257 garray(nan) nan nan [ nan]
258 garray(nan) nan nan [ nan]
259 garray(nan) nan nan [ nan]
260 garray(nan) nan nan [ nan]
261 garray(nan) nan nan [ nan]
262 garray(nan) nan nan [ nan]
263 garray(nan) nan nan [ nan]
264 garray(nan) nan nan [ nan]
265 garray(nan) nan nan [ nan]
266 garray(nan) nan nan [ nan]
267 garray(nan) nan nan [ nan]
268 garray(nan) nan nan [ nan]
269 garray(nan) nan nan [ nan]
270 garray(nan) nan nan [ nan]
271 garray(nan) nan nan [ nan]
272 garray(nan) nan nan [ nan]
273 garray(nan) nan nan [ nan]
274 garray(nan) nan nan [ nan]
275 garray(nan) nan nan [ nan]
276 garray(nan) nan nan [ nan]
277 garray(nan) nan nan [ nan]
278 garray(nan) nan nan [ nan]
279 garray(nan) nan nan [ nan]
280 garray(nan) nan nan [ nan]
281 garray(nan) nan nan [ nan]
282 garray(nan) nan nan [ nan]
283 garray(nan) nan nan [ nan]
284 garray(nan) nan nan [ nan]
285 garray(nan) nan nan [ nan]
286 garray(nan) nan nan [ nan]
287 garray(nan) nan nan [ nan]
288 garray(nan) nan nan [ nan]
289 garray(nan) nan nan [ nan]
290 garray(nan) nan nan [ nan]
291 garray(nan) nan nan [ nan]
292 garray(nan) nan nan [ nan]
293 garray(nan) nan nan [ nan]
294 garray(nan) nan nan [ nan]
295 garray(nan) nan nan [ nan]
296 garray(nan) nan nan [ nan]
297 garray(nan) nan nan [ nan]
298 garray(nan) nan nan [ nan]
299 garray(nan) nan nan [ nan]
300 garray(nan) nan nan [ nan]
301 garray(nan) nan nan [ nan]
302 garray(nan) nan nan [ nan]
303 garray(nan) nan nan [ nan]
304 garray(nan) nan nan [ nan]
305 garray(nan) nan nan [ nan]
306 garray(nan) nan nan [ nan]
307 garray(nan) nan nan [ nan]
308 garray(nan) nan nan [ nan]
309 garray(nan) nan nan [ nan]
310 garray(nan) nan nan [ nan]
311 garray(nan) nan nan [ nan]
312 garray(nan) nan nan [ nan]
313 garray(nan) nan nan [ nan]
314 garray(nan) nan nan [ nan]
315 garray(nan) nan nan [ nan]
316 garray(nan) nan nan [ nan]
317 garray(nan) nan nan [ nan]
318 garray(nan) nan nan [ nan]
319 garray(nan) nan nan [ nan]
320 garray(nan) nan nan [ nan]
321 garray(nan) nan nan [ nan]
322 garray(nan) nan nan [ nan]
323 garray(nan) nan nan [ nan]
324 garray(nan) nan nan [ nan]
325 garray(nan) nan nan [ nan]
326 garray(nan) nan nan [ nan]
327 garray(nan) nan nan [ nan]
328 garray(nan) nan nan [ nan]
329 garray(nan) nan nan [ nan]
330 garray(nan) nan nan [ nan]
331 garray(nan) nan nan [ nan]
332 garray(nan) nan nan [ nan]
333 garray(nan) nan nan [ nan]
334 garray(nan) nan nan [ nan]
335 garray(nan) nan nan [ nan]
336 garray(nan) nan nan [ nan]
337 garray(nan) nan nan [ nan]
338 garray(nan) nan nan [ nan]
339 garray(nan) nan nan [ nan]
340 garray(nan) nan nan [ nan]
341 garray(nan) nan nan [ nan]
342 garray(nan) nan nan [ nan]
343 garray(nan) nan nan [ nan]
344 garray(nan) nan nan [ nan]
345 garray(nan) nan nan [ nan]
346 garray(nan) nan nan [ nan]
347 garray(nan) nan nan [ nan]
348 garray(nan) nan nan [ nan]
349 garray(nan) nan nan [ nan]
350 garray(nan) nan nan [ nan]
351 garray(nan) nan nan [ nan]
352 garray(nan) nan nan [ nan]
353 garray(nan) nan nan [ nan]
354 garray(nan) nan nan [ nan]
355 garray(nan) nan nan [ nan]
356 garray(nan) nan nan [ nan]
357 garray(nan) nan nan [ nan]
358 garray(nan) nan nan [ nan]
359 garray(nan) nan nan [ nan]
360 garray(nan) nan nan [ nan]
361 garray(nan) nan nan [ nan]
362 garray(nan) nan nan [ nan]
363 garray(nan) nan nan [ nan]
364 garray(nan) nan nan [ nan]
365 garray(nan) nan nan [ nan]
366 garray(nan) nan nan [ nan]
367 garray(nan) nan nan [ nan]
368 garray(nan) nan nan [ nan]
369 garray(nan) nan nan [ nan]
370 garray(nan) nan nan [ nan]
371 garray(nan) nan nan [ nan]
372 garray(nan) nan nan [ nan]
373 garray(nan) nan nan [ nan]
374 garray(nan) nan nan [ nan]
375 garray(nan) nan nan [ nan]
376 garray(nan) nan nan [ nan]
377 garray(nan) nan nan [ nan]
378 garray(nan) nan nan [ nan]
379 garray(nan) nan nan [ nan]
380 garray(nan) nan nan [ nan]
381 garray(nan) nan nan [ nan]
382 garray(nan) nan nan [ nan]
383 garray(nan) nan nan [ nan]
384 garray(nan) nan nan [ nan]
385 garray(nan) nan nan [ nan]
386 garray(nan) nan nan [ nan]
387 garray(nan) nan nan [ nan]
388 garray(nan) nan nan [ nan]
389 garray(nan) nan nan [ nan]
390 garray(nan) nan nan [ nan]
391 garray(nan) nan nan [ nan]
392 garray(nan) nan nan [ nan]
393 garray(nan) nan nan [ nan]
394 garray(nan) nan nan [ nan]
395 garray(nan) nan nan [ nan]
396 garray(nan) nan nan [ nan]
397 garray(nan) nan nan [ nan]
398 garray(nan) nan nan [ nan]
399 garray(nan) nan nan [ nan]
400 garray(nan) nan nan [ nan]
401 garray(nan) nan nan [ nan]
402 garray(nan) nan nan [ nan]
403 garray(nan) nan nan [ nan]
404 garray(nan) nan nan [ nan]
405 garray(nan) nan nan [ nan]
406 garray(nan) nan nan [ nan]
407 garray(nan) nan nan [ nan]
408 garray(nan) nan nan [ nan]
409 garray(nan) nan nan [ nan]
410 garray(nan) nan nan [ nan]
411 garray(nan) nan nan [ nan]
412 garray(nan) nan nan [ nan]
413 garray(nan) nan nan [ nan]
414 garray(nan) nan nan [ nan]
415 garray(nan) nan nan [ nan]
416 garray(nan) nan nan [ nan]
417 garray(nan) nan nan [ nan]
418 garray(nan) nan nan [ nan]
419 garray(nan) nan nan [ nan]
420 garray(nan) nan nan [ nan]
421 garray(nan) nan nan [ nan]
